table,column,unique_ratio,null_ratio,is_high_unique
actor,actor_id,1.0,0.0,True
actor,first_name,0.64,0.0,False
actor,last_name,0.605,0.0,False
actor,last_update,0.01,0.0,False
actor_info,actor_id,1.0,0.0,True
actor_info,film_info,1.0,0.0,True
actor_info,first_name,0.64,0.0,False
actor_info,last_name,0.605,0.0,False
address,address_id,1.0,0.0,True
address,address,1.0,0.0,True
address,phone,0.9983416252072969,0.0,True
address,city_id,0.9933665008291874,0.0,True
address,postal_code,0.9900497512437811,0.0,True
address,location,0.7628524046434494,0.0,False
address,district,0.6268656716417911,0.0,False
address,last_update,0.4096185737976783,0.0,False
address,address2,0.001658374792703151,0.0066334991708125735,False
category,category_id,1.0,0.0,True
category,name,1.0,0.0,True
category,last_update,0.0625,0.0,False
city,city_id,1.0,0.0,True
city,city,0.9983333333333333,0.0,True
city,country_id,0.18166666666666667,0.0,False
city,last_update,0.0016666666666666668,0.0,False
country,country_id,1.0,0.0,True
country,country,1.0,0.0,True
country,last_update,0.009174311926605505,0.0,False
customer,customer_id,1.0,0.0,True
customer,address_id,1.0,0.0,True
customer_list,ID,1.0,0.0,True
customer_list,name,1.0,0.0,True
customer_list,address,1.0,0.0,True
customer_list,phone,1.0,0.0,True
customer_list,city,0.996661101836394,0.0,True
customer_list,zip code,0.994991652754591,0.0,True
customer_list,country,0.18030050083472454,0.0,False
customer_list,notes,0.00333889816360601,0.0,False
customer_list,SID,0.00333889816360601,0.0,False
film,film_id,1.0,0.0,True
film,title,1.0,0.0,True
film,description,1.0,0.0,True
film,length,0.14,0.0,False
film,replacement_cost,0.021,0.0,False
film,special_features,0.015,0.0,False
film,rental_duration,0.005,0.0,False
film,rating,0.005,0.0,False
film,rental_rate,0.003,0.0,False
film,release_year,0.001,0.0,False
film,language_id,0.001,0.0,False
film,last_update,0.001,0.0,False
film,original_language_id,0.0,1.0,False
film_actor,film_id,0.18253387037715121,0.0,False
film_actor,actor_id,0.03661662394727206,0.0,False
film_actor,last_update,0.0001830831197363603,0.0,False
film_category,film_id,1.0,0.0,True
film_category,category_id,0.016,0.0,False
film_category,last_update,0.001,0.0,False
film_list,FID,1.0,0.0,True
film_list,title,1.0,0.0,True
film_list,description,1.0,0.0,True
film_list,actors,0.996,0.0030000000000000027,True
film_list,length,0.14,0.0,False
film_list,category,0.016,0.0,False
film_list,rating,0.005,0.0,False
film_list,price,0.003,0.0,False
film_text,film_id,1.0,0.0,True
film_text,title,1.0,0.0,True
film_text,description,1.0,0.0,True
inventory,inventory_id,1.0,0.0,True
inventory,film_id,0.20912464527395766,0.0,False
language,language_id,1.0,0.0,True
language,name,1.0,0.0,True
language,last_update,0.16666666666666666,0.0,False
nicer_but_slower_film_list,FID,1.0,0.0,True
nicer_but_slower_film_list,title,1.0,0.0,True
nicer_but_slower_film_list,description,1.0,0.0,True
nicer_but_slower_film_list,actors,0.996,0.0030000000000000027,True
nicer_but_slower_film_list,length,0.14,0.0,False
nicer_but_slower_film_list,category,0.016,0.0,False
nicer_but_slower_film_list,rating,0.005,0.0,False
nicer_but_slower_film_list,price,0.003,0.0,False
payment,payment_id,1.0,0.0,True
payment,customer_id,0.037334829219645975,0.0,False
rental,rental_id,1.0,0.0,True
rental,return_date,0.987035651957118,0.011406133133881835,False
rental,rental_date,0.9857267514335577,0.0,False
rental,inventory_id,0.2854649713288457,0.0,False
rental,customer_id,0.037334829219645975,0.0,False
rental,staff_id,0.00012465719272001995,0.0,False
rental,last_update,0.00012465719272001995,0.0,False
sales_by_film_category,category,1.0,0.0,True
sales_by_film_category,total_sales,1.0,0.0,True
sales_by_store,store,1.0,0.0,True
sales_by_store,manager,1.0,0.0,True
sales_by_store,total_sales,1.0,0.0,True
staff,store_id,1.0,0.0,True
staff,username,1.0,0.0,True
staff,address_id,1.0,0.0,True
staff,first_name,1.0,0.0,True
staff,staff_id,1.0,0.0,True
staff_list,ID,1.0,0.0,True
staff_list,SID,1.0,0.0,True
store,store_id,1.0,0.0,True
store,address_id,1.0,0.0,True
store,manager_staff_id,1.0,0.0,True
